00|176|harry|3|1156284461787782
01|176|harry|3|1156284461787782
02|176|harry|1|1156282887653107
03|176|harry|1|1156282887653107
04_a|176|bob|5|1164214419136900
04|176|cindy|11|1170106311371422
05|176|harry|1|1156282887653107
06|176|harry|1|1156282887653107
07|176|cindy|12|1170801810800205
08|176|harry|1|1156282887653107
09|176|harry|1|1156282887653107
0a|176|harry|1|1156282887653107
0b|176|harry|1|1156282887653107
0c|176|harry|1|1156282887653107
0d|143|cindy|7|1164217604659807
0e|176|harry|1|1156282887653107
0f|176|harry|1|1156282887653107
