0|10|jim|2007-01-29T21:31:24.861968Z|lR^O%;k,UY
1|10|jim|2007-01-29T21:31:24.861968Z|Dkam?#XxMg
2|10|jim|2007-01-29T21:31:24.861968Z|;%+<QF##<@
3|10|jim|2007-01-29T21:31:24.861968Z|`<fr34.Tkb
4|10|jim|2007-01-29T21:31:24.861968Z|H?>s-:]!;<
5|10|jim|2007-01-29T21:31:24.861968Z|@Od$20w!%=
6|11|cindy|2007-01-29T21:31:51.371422Z|<Hhx9(&">-
7|11|cindy|2007-01-29T21:31:51.371422Z|ErL[2CVD^I
8|10|jim|2007-01-29T21:31:24.861968Z|:-+c@s"C/s
9|10|jim|2007-01-29T21:31:24.861968Z|a-u$A)DPsQ
10|10|jim|2007-01-29T21:31:24.861968Z|Aj:M&:SGbi
11|10|jim|2007-01-29T21:31:24.861968Z|4Rh95%;#<6
12|10|jim|2007-01-29T21:31:24.861968Z|XqOmpby61u
13|10|jim|2007-01-29T21:31:24.861968Z|g&Ot[$B2G;
14|10|jim|2007-01-29T21:31:24.861968Z|!iJ.TAjbK5
15|10|jim|2007-01-29T21:31:24.861968Z|_WmKm'r]k?
